StudentID   ,Course1 ,Course2 ,Course3 ,Course4 ,Course5
Student_1   ,1004    ,1001    ,1002    ,1003    ,1005
Student_2   ,1002    ,1001    ,1005    ,1004    ,1003
Student_3   ,1001    ,1002    ,1004    ,1005    ,-1003
Student_4   ,1004    ,-1005   ,1003    ,1001    ,1002
Student_5   ,-1003   ,1004    ,1002    ,1005    ,-1001
Student_6   ,1003    ,1005    ,1004    ,-1002   ,-1001
Student_7   ,1003    ,-1002   ,-1001   ,-1004   ,1005
Student_8   ,1005    ,1003    ,-1004   ,1001    ,-1002
Student_9   ,1002    ,1005    ,1004    ,1003    ,1001
Student_10  ,1005    ,1003    ,-1001   ,1004    ,1002
Student_11  ,-1002   ,1001    ,1005    ,1004    ,1003
Student_12  ,1001    ,-1002   ,1004    ,-1003   ,1005
Student_13  ,1002    ,-1003   ,-1005   ,-1001   ,1004
Student_14  ,1001    ,-1003   ,1005    ,1002    ,1004
Student_15  ,1003    ,-1005   ,-1001   ,1004    ,1002
Student_16  ,1002    ,1003    ,1005    ,1004    ,1001
Student_17  ,1004    ,1003    ,1002    ,1005    ,1001
Student_18  ,1002    ,1004    ,1001    ,1005    ,1003
Student_19  ,1002    ,1004    ,1003    ,1001    ,1005
Student_20  ,-1002   ,1003    ,1004    ,1001    ,-1005
Student_21  ,-1004   ,1002    ,1005    ,1001    ,1003
Student_22  ,1005    ,-1004   ,1001    ,1002    ,1003
Student_23  ,1004    ,1002    ,1005    ,1003    ,1001
Student_24  ,-1005   ,1004    ,1001    ,1002    ,1003
Student_25  ,-1003   ,1001    ,1004    ,1002    ,1005
Student_26  ,-1004   ,1001    ,1003    ,-1005   ,1002
Student_27  ,1002    ,-1004   ,1005    ,-1003   ,1001
Student_28  ,1004    ,1005    ,1001    ,1003    ,1002
Student_29  ,1003    ,1004    ,-1002   ,1005    ,1001
Student_30  ,1003    ,1002    ,-1001   ,1004    ,1005
Student_31  ,1003    ,1005    ,1001    ,1002    ,-1004
Student_32  ,1003    ,1005    ,1004    ,1002    ,1001
Student_33  ,-1005   ,1001    ,1004    ,1003    ,1002
Student_34  ,-1002   ,-1005   ,1004    ,1003    ,1001
Student_35  ,1001    ,1003    ,-1004   ,-1002   ,1005
Student_36  ,-1003   ,1005    ,1001    ,-1004   ,1002
Student_37  ,1005    ,-1002   ,-1004   ,1003    ,1001
Student_38  ,-1005   ,1002    ,1004    ,1001    ,1003
Student_39  ,-1002   ,-1001   ,1005    ,1004    ,1003
Student_40  ,1005    ,1001    ,1002    ,-1004   ,1003
Student_41  ,-1001   ,1003    ,1005    ,1002    ,1004
