StudentID   ,InversionCount
Student_1   ,             5
Student_2   ,             6
Student_3   ,             5
Student_4   ,             4
Student_5   ,             5
Student_6   ,             8
Student_7   ,             6
Student_8   ,             4
Student_9   ,             2
Student_10  ,             5
Student_11  ,            10
Student_12  ,             2
Student_13  ,             4
Student_14  ,             4
Student_15  ,             4
Student_16  ,             6
Student_17  ,             6
Student_18  ,             3
Student_19  ,             6
Student_20  ,             4
Student_21  ,             4
Student_22  ,             3
Student_23  ,             7
Student_24  ,             5
Student_25  ,             4
Student_26  ,             8
Student_27  ,             3
Student_28  ,             6
Student_29  ,             6
Student_30  ,             6
Student_31  ,             6
Student_32  ,             6
Student_33  ,             4
Student_34  ,             6
Student_35  ,             7
Student_36  ,             5
Student_37  ,             5
Student_38  ,             9
Student_39  ,             7
Student_40  ,             3
Student_41  ,             6
Student_42  ,             4
Student_43  ,             3
Student_44  ,             7
Student_45  ,             5
Student_46  ,             3
Student_47  ,             4
Student_48  ,             1
Student_49  ,             5
Student_50  ,             2
Student_51  ,             3
Student_52  ,             4
Student_53  ,             7
Student_54  ,             6
Student_55  ,             5
Student_56  ,             6
Student_57  ,             2
Student_58  ,             9
Student_59  ,             4
Student_60  ,             5
Student_61  ,             8
Student_62  ,             8
Student_63  ,             6
Student_64  ,             1
Student_65  ,             8
Student_66  ,             4
Student_67  ,             6
Student_68  ,             2
Student_69  ,             9
Student_70  ,             2
Student_71  ,             4
Student_72  ,             8
Student_73  ,             6
Student_74  ,             4
Student_75  ,             2
Student_76  ,             5
Student_77  ,             4
Student_78  ,             4
Student_79  ,             1
Student_80  ,             6
Student_81  ,             6
Student_82  ,             5
Student_83  ,             2
Student_84  ,             5
Student_85  ,             3
Student_86  ,             5
Student_87  ,             5
Student_88  ,             5
Student_89  ,             2
Student_90  ,             9
Student_91  ,             6
Student_92  ,             7
Student_93  ,             3
Student_94  ,             5
Student_95  ,             6
Student_96  ,             6
Student_97  ,             6
Student_98  ,             5
Student_99  ,             1
Student_100 ,             5
